"ESPT_CD_ID","EMBA_CD_ID","PORT_CD_ID_ORIGEM","PORT_CD_ID_DESTINO","ESPT_TX_NUM_ESCALA","CEVG_DT_INICIO","ESPT_DT_QTO_BOLETIM","ESPT_DT_QTP_BOLETIM","ESPT_NR_DIST_NAVEGADA","ESPT_NR_DIST_TABELADA","ESPT_NR_COMB_EXI_MFO","ESPT_NR_OLEO_PESADO","ESPT_NR_COMB_EXI_MDO_MGO","ESPT_NR_OLEO_DIESEL","ESPT_MD_VELOC_TP","ESPT_MD_CONS_FO","ESPT_MD_CONS_DO","ESPT_IN_CARGA_LASTRO","CEVG_NR_TEMPO","CEVG_NR_OLEO_PESADO","CEVG_NR_OLEO_DIESEL","CEVG_NR_DISTANCIA_NAV","CONSUMO_FO_VIAGEM","CONSUMO_DO_VIAGEM","CONSUMO_TOTAL","CONSUMO_MEDIO_VIAGEM","CONSUMO_FO_DCE","CONSUMO_DO_DCE","CONSUMO_TOTAL_DCE","CONSUMO_MEDIO_DCE","CONSUMO_DO_FCE","CONSUMO_FO_FCE","CONSUMO_TOTAL_FCE","CONSUMO_MEDIO_FCE","VELOC_MEDIA_VIAGEM","VELOC_MEDIA_FCE","VELOC_MEDIA_DCE","TEMPO_VIAGEM","DELETED","DELETION_DATE","INSERT_DATE","UPDATE_DATE"
137871,"7469","BALB","PACO","305",,27/01/2010 17:48:00,27/01/2010 17:48:00,48,48,704,9,79,5,704,9,79,5,14,5,37,0,"C",10,25,6,3,0,48,0,0,0,0,6,3,0,6,3,7,62,0,-6,3,-6,3,0,0,0,4,68,0,0,,,
139290,"7469","BALB","PACO","319",,21/02/2010 16:12:00,21/02/2010 16:12:00,48,48,789,2,68,8,789,2,68,8,14,5,37,0,"C",10,5,6,6,0,48,0,0,0,0,6,6,0,6,6,7,27,0,-6,6,-6,6,0,0,0,4,57,0,0,,,
201902,"104","BASA","PGUA","1901",,14/07/2013 00:30:00,15/07/2013 11:30:00,400,400,247,37,260,42,11,3,15,3,8,"L",5,25,0,83,3,72,20,13,5,18,22,22,0,83,3,72,4,55,4,4,1,28,12,17,13,45,28,25,11,43,12,77,3,81,35,0,,,
131289,"5895","BASH","ZHOU","171",,03/12/2009 22:00:00,23/12/2009 22:30:00,5677,5677,1943,7,68,5,3361,5,71,13,73,5,0,"C",35,61,8,0,310,1417,8,2,5,1420,3,4,61,8,0,61,8,5,02,2,5,1356,1358,5,3,95,0,83,0,79,8,86,6864,0,,,
260346,"1XCQ","BASR","FUJA","31",,16/11/2017 15:00:00,18/11/2017 16:00:00,566,588,1824,24,462,62,1908,14,462,92,12,60,0,"C",1,3,2,2,0,16,83,9,0,3,84,2,6,72,2,2,0,2,2,7,27,0,3,81,7,82,6,71,11,55,11,53,12,31,49,0,,,
99849,"7612","BAUN","SING","203",,06/01/2009 14:30:00,11/01/2009 21:30:00,1789,1789,510,9,27,771,27,14,49,5,0,"C",8,3,4,7,0,40,260,1,0,260,1,6,88,4,7,0,4,7,8,51,0,255,4,255,4,6,85,0,49,0,48,4,82,3679,0,,,
142196,"6806","BBLA","BAIR","85",,08/06/2010 16:30:00,10/06/2010 13:30:00,592,592,880,1,109,1,950,5,109,1,13,32,0,"C",9,5,10,0,104,70,4,0,70,4,8,41,10,0,10,10,4,0,60,4,60,4,8,08,0,41,0,34,10,95,1461,0,,,
147129,"6276","BBLA","BAIR","873",,22/07/2010 05:30:00,24/07/2010 05:40:00,599,599,621,6,90,5,700,6,90,5,13,32,0,"C",9,67,9,6,0,110,79,0,79,7,58,9,6,0,9,6,11,46,0,69,4,69,4,7,05,12,48,12,76,11,38,48,0,,,
147930,"6806","BBLA","BAIR","97",,07/08/2010 15:30:00,09/08/2010 12:00:00,592,592,622,5,130,1,693,7,130,1,13,32,0,"C",8,10,7,0,104,71,2,0,71,2,8,31,10,7,0,10,7,9,72,0,60,5,60,5,8,07,0,4,0,33,13,1484,0,,,
159541,"6806","BBLA","BAIR","115",,06/03/2011 22:00:00,08/03/2011 14:15:00,592,592,650,6,111,1,729,4,111,1,13,32,0,"C",8,75,10,5,0,104,78,8,0,78,8,7,51,10,5,0,10,5,9,9,0,68,3,68,3,7,14,0,41,0,34,11,89,1456,0,,,
165023,"6386","BBLA","BAIR","341",,12/06/2011 06:00:00,14/06/2011 04:00:00,583,583,1258,4,153,6,1338,5,153,6,13,32,0,"C",9,5,12,7,0,103,80,1,0,80,1,7,28,12,7,0,12,7,8,11,0,67,4,67,4,7,12,12,67,13,15,10,84,46,0,,,
166014,"6806","BBLA","BAIR","163",,18/06/2011 10:30:00,20/06/2011 09:00:00,585,585,613,9,105,7,701,3,105,7,13,32,0,"C",9,2,12,1,0,99,87,4,0,87,4,6,69,12,1,0,12,1,8,18,0,75,3,75,3,6,45,12,72,13,21,10,76,46,0,,,
145299,"6536","BBLA","CAMP","893",,17/06/2010 15:00:00,19/06/2010 18:30:00,665,665,1031,3,140,1108,140,13,32,0,"C",14,5,20,0,177,76,7,0,76,7,8,67,20,0,20,8,85,0,56,7,56,7,8,61,13,04,13,37,12,21,51,0,,,
203642,"6536","BBLA","CAMP","1173",,15/08/2013 17:30:00,18/08/2013 01:30:00,660,660,553,6,85,647,85,13,32,0,"C",17,25,25,85,0,172,93,4,0,93,4,7,07,25,85,0,25,85,6,65,0,67,55,67,55,7,22,11,79,12,59,9,97,56,0,,,
131150,"2499","BBLA","MANZ","151",,31/12/2009 21:30:00,17/01/2010 01:00:00,5792,5748,591,3,80,4,1452,5,81,16,54,6,0,16,"C",23,5,49,5,0,332,861,2,0,6,861,8,6,72,49,5,0,49,5,6,71,0,6,811,7,812,3,6,72,14,97,15,02,14,13,387,0,,,
227366,"10QA","BBLA","PGUA","363",,26/03/2015 03:00:00,29/03/2015 10:00:00,1154,1188,1240,83,43,1,1381,78,43,9,15,35,44,08,0,26,"C",2,06,3,2,0,22,140,95,0,8,141,75,8,14,3,2,0,3,2,6,88,0,8,137,75,138,55,8,17,14,61,14,71,10,68,79,0,,,
259973,"10QA","BBLA","PGUA","581",,05/11/2017 20:00:00,09/11/2017 03:30:00,1150,1188,471,95,70,08,616,5,70,08,13,26,5,0,25,"L",3,5,2,0,27,144,55,0,144,55,7,96,5,2,0,5,2,5,19,0,139,35,139,35,8,06,0,39,0,38,9,2935,0,,,
108613,"962","BBLA","QUET","83",,29/03/2009 02:24:00,13/04/2009 12:00:00,5269,5280,811,3,119,7,1525,5,122,16,54,6,0,16,"C",18,48,37,2,0,266,714,2,2,3,716,5,7,35,37,2,0,37,2,7,15,2,3,677,679,3,7,36,14,28,14,27,14,39,369,0,,,
152870,"2601","BBLA","QUIT","433",,19/11/2010 09:30:00,26/11/2010 08:24:00,2444,2400,290,6,66,536,9,66,15,6,43,0,25,"C",41,5,0,0,587,246,3,0,246,3,9,92,0,0,0,,0,246,3,246,3,7,54,14,72,14,92,14,14,166,0,,,
177394,"10QA","BBLA","RNDE","109",,30/04/2012 17:45:00,03/05/2012 02:45:00,722,711,1287,9,78,1,1359,8,78,1,12,25,29,72,0,26,"C",1,5,2,7,0,26,71,9,0,71,9,10,04,2,7,0,2,7,9,63,0,69,2,69,2,10,06,12,67,12,54,17,33,57,0,,,
239333,"10QA","BBLA","RNDE","457",,10/05/2016 11:12:00,12/05/2016 10:18:00,665,711,1610,55,79,2,1665,26,79,41,15,65,38,5,0,25,"C",1,8,2,36,0,28,54,71,0,21,54,92,12,11,2,36,0,2,36,11,86,0,21,52,35,52,56,12,12,0,45,0,44,15,56,1463,0,,,
279649,"10QA","BBLA","RNDE","717",,22/05/2019 22:42:00,24/05/2019 20:36:00,692,711,703,3,48,85,782,45,48,85,15,5,38,5,0,"C",1,9,3,1,0,26,79,15,0,79,15,8,74,3,1,0,3,1,8,39,0,76,05,76,05,8,76,15,38,15,45,13,68,45,0,,,
140052,"6810","BBLA","SLOR","591",,28/03/2010 19:00:00,31/03/2010 13:24:00,835,835,648,6,86,740,5,86,14,5,39,0,"C",32,6,42,3,0,340,91,9,0,91,9,9,09,42,3,0,42,3,8,04,0,49,6,49,6,9,98,12,65,14,82,10,43,66,0,,,
150250,"6826","BBLA","SLOR","675",,20/09/2010 18:30:00,23/09/2010 16:00:00,918,918,443,2,88,525,8,88,14,5,39,5,0,"C",30,5,29,4,0,330,82,6,0,82,6,11,11,29,4,0,29,4,11,22,0,53,2,53,2,11,05,13,3,15,27,10,82,69,0,,,
155481,"6826","BBLA","SLOR","717",,08/01/2011 02:30:00,11/01/2011 20:12:00,918,760,998,7,122,9,1077,9,122,9,14,5,39,5,0,"C",30,6,27,0,325,79,2,0,79,2,11,59,27,0,27,12,04,0,52,2,52,2,11,36,0,41,0,27,10,62,2225,0,,,
172673,"0P9L","BBLA","SLOR","215",,15/12/2011 15:00:00,19/12/2011 00:30:00,846,760,427,9,63,3,532,8,63,4,12,5,37,2,0,2,"C",36,5,41,7,0,357,104,9,0,1,105,8,06,41,7,0,41,7,8,56,0,1,63,2,63,3,7,73,10,44,10,99,9,78,81,0,,,
175230,"134","BBLA","SLOR","1293",,13/03/2012 01:00:00,17/03/2012 07:30:00,890,760,736,83,816,85,12,2,22,5,1,"L",39,41,38,1,374,80,2,82,10,85,38,1,39,9,59,1,42,43,12,8,73,8,24,9,49,102,0,,,
176871,"0F3V","BBLA","SLOR","399",,26/04/2012 08:42:00,03/05/2012 07:00:00,863,760,452,1,69,557,7,71,1,11,20,0,5,"C",40,2,45,2,0,49,381,105,6,2,1,107,7,8,01,45,2,0,49,45,69,8,34,1,61,60,4,62,01,7,77,5,2,3,83,9,48,166,0,,,
180146,"0PSV","BBLA","SLOR","17",,31/07/2012 04:36:00,03/08/2012 01:54:00,829,760,1017,3,80,6,1099,9,80,6,13,5,33,0,"C",31,4,35,5,0,328,82,6,0,82,6,10,04,35,5,0,35,5,9,24,0,47,1,47,1,10,64,12,01,13,32,10,45,69,0,,,
191102,"15Y0","BBLA","SLOR","15",,11/12/2012 23:18:00,14/12/2012 17:06:00,778,760,654,5,57,5,729,4,57,7,12,5,38,75,0,2,"C",32,1,36,2,0,327,74,9,0,2,75,1,10,36,36,2,0,36,2,9,03,0,2,38,7,38,9,11,59,1,02,0,62,10,19,761,0,,,
203988,"6826","BBLA","SLOR","985",,26/08/2013 02:00:00,30/08/2013 15:00:00,831,831,460,42,83,6,535,47,83,6,12,31,0,"C",39,3,35,63,0,365,75,05,0,75,05,11,07,35,63,0,35,63,10,24,0,39,42,39,42,11,82,7,62,6,69,9,29,109,0,,,
215241,"0U1U","BBLA","SLOR","205",,22/03/2014 17:30:00,01/04/2014 01:45:00,920,760,28,5,37,5,142,6,38,12,35,27,3,0,11,"L",36,3,31,2,0,1,375,114,1,0,5,114,6,8,03,31,2,0,1,31,3,11,98,0,4,82,9,83,3,6,54,4,11,2,9,10,33,224,0,,,
220019,"0PSV","BBLA","SLOR","191",,11/08/2014 18:30:00,15/08/2014 14:00:00,845,760,647,53,745,53,13,31,0,"C",35,5,43,5,0,329,98,0,98,8,62,43,5,0,43,5,7,56,0,54,5,54,5,9,47,9,29,9,3,9,27,91,0,,,
229636,"6587","BBLA","SLOR","251",,10/06/2015 16:36:00,17/06/2015 16:48:00,802,760,349,2,50,7,417,2,50,7,12,5,27,0,"C",32,9,26,3,0,340,68,0,68,11,79,26,3,0,26,3,12,93,0,41,7,41,7,11,08,4,77,3,42,10,33,168,0,,,
235060,"10QA","BBLA","SNOS","427",,22/12/2015 04:15:00,26/12/2015 04:45:00,1232,1289,1427,37,97,5,1553,8,98,25,13,27,5,0,25,"C",2,2,29,0,24,126,43,0,75,127,18,9,69,2,29,0,2,29,10,48,0,75,124,14,124,89,9,67,12,83,12,85,12,96,0,,,
237069,"10QA","BBLA","SNOS","447",,06/03/2016 17:00:00,10/03/2016 18:00:00,1257,1289,627,25,89,797,62,89,5,15,65,38,5,0,25,"C",2,25,2,87,0,25,170,37,0,5,170,87,7,36,2,87,0,2,87,8,71,0,5,167,5,168,7,33,0,43,0,42,11,11,2929,0,,,
237513,"10QA","BBLA","SNOS","451",,28/03/2016 05:42:00,01/04/2016 08:00:00,1261,1289,670,3,88,824,1,88,5,13,27,5,0,25,"C",2,3,2,59,0,25,153,8,0,5,154,3,8,17,2,59,0,2,59,9,65,0,5,151,21,151,71,8,15,12,87,12,92,10,87,98,0,,,
245113,"10QA","BBLA","SNOS","493",,14/12/2016 20:30:00,18/12/2016 15:30:00,1252,1289,1082,94,82,5,1231,58,82,5,15,65,38,5,0,25,"C",2,3,44,0,23,148,64,0,148,64,8,42,3,44,0,3,44,6,69,0,145,2,145,2,8,46,13,76,13,81,11,5,91,0,,,
245528,"10QA","BBLA","SNOS","497",,27/12/2016 10:36:00,30/12/2016 19:48:00,1241,1289,756,51,81,8,898,43,81,8,15,65,38,5,0,25,"C",2,3,09,0,22,141,92,0,141,92,8,74,3,09,0,3,09,7,12,0,138,83,138,83,8,78,15,32,15,43,11,81,0,,,
246868,"10QA","BBLA","SNOS","509",,12/02/2017 08:36:00,15/02/2017 23:42:00,1248,1289,659,11,81,804,55,81,15,65,38,5,0,25,"C",2,4,3,69,0,20,145,44,0,145,44,8,58,3,69,0,3,69,5,42,0,141,75,141,75,8,66,14,34,14,52,8,33,87,0,,,
261815,"10QA","BBLA","SNOS","595",,28/12/2017 03:00:00,31/12/2017 17:30:00,1301,1289,291,6,69,45,441,35,69,6,15,65,38,5,0,25,"C",2,2,95,0,26,149,75,0,15,149,9,8,68,2,95,0,2,95,8,81,0,15,146,8,146,95,8,68,15,13,15,18,13,86,0,,,
264226,"10QA","BBLA","SNOS","611",,13/03/2018 04:48:00,16/03/2018 15:36:00,1240,1289,755,02,69,904,11,69,2,16,35,38,5,0,25,"L",1,1,67,0,12,149,09,0,2,149,29,8,31,1,67,0,1,67,7,19,0,2,147,42,147,62,8,32,15,12,15,16,12,82,0,,,
