"ID_ANALISE","COND_ESPECIAL","ORIGEM_PORTO","DESTINO_PORTO","DISTANCIA_AREA_RESTRITA_HISTORICO","TEMPO_AREA_RESTRITA_HISTORICO","CONSUMO_AREA_RESTRITA_HISTORICO","VEREDITO_DISTANCIA","VEREDITO_DURACAO","VEREDITO_CONSUMO","VEREDITO_CONDICAO_ESPECIAL","DISTANCIA_AREA_RESTRITA","TEMPO_AREA_RESTRITA","CONSUMO_AREA_RESTRITA","CARGA_LASTRO","NAVIO","DISTANCIA_PORCENTAGEM","TEMPO_PORCENTAGEM","CONSUMO_PORCENTAGEM"
"10306","281853","MAUS","ITAC","103.29032","5.9573116","7.444945","1","0","0","0","103","16","10.3","C","17HL","-0.28107166","168.57753","38.348915"
"10307","281854","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","1","1","102","10.1","12","C","17HL","-0.9893596","10.116375","12.141478"
"10308","281859","TAPE","PGUD","51","2.8","5.6","1","1","1","1","51","2.8","5.6","C","22TQ","0","0","0"
"10309","281860","PGUD","SING","11","1","1.3","1","1","1","1","11","1","1.3","L","22TQ","0","0","0"
"10310","281896","RNDE","PALR","158.93814","17.095259","8.127424","1","1","1","1","144","13.9","9.44","C","1VZ2","-9.398717","-18.690908","16.14995"
"10311","281935","FAZE","MAUS","288.3611","26.556526","29.627085","0","0","0","0","732","88.5","97.5","C","17MT","153.84836","233.25143","229.09076"
"10312","281940","MAUS","COAR","235.31624","23.401955","14.880716","1","1","1","1","235","20","15.87","L","1YIH","-0.1343906","-14.537054","6.6480875"
"10313","282053","BELM","MAUS","852.3582","69.99224","37.181194","1","1","1","1","885","77.4","40.350002","L","1YJC","3.8295865","10.583687","8.522606"
"10314","282054","MAUS","COAR","235.31624","23.401955","14.880716","1","1","0","0","223","20.5","11.3","L","1YJC","-5.2339077","-12.400478","-24.062794"
"10315","282073","PALR","RNDE","156.90805","15.968277","7.6451726","0","0","0","0","120","11.75","5.84","L","1X5F","-23.52209","-26.416605","-23.611927"
"10316","282139","XARE","MAUS","871.8611","86.91389","85.10917","1","1","1","1","912","100.9","85.7","C","0RRF","4.603815","16.091919","0.6942034"
"10317","282141","COAR","SAOL","1213.4603","77.65856","39.126026","1","1","0","0","1143","66","54.159996","C","1YIH","-5.8065596","-15.012592","38.42448"
"10318","282143","MAUS","ITAC","103.29032","5.9573116","7.444945","1","1","1","1","109","6.8","8.5","C","17HL","5.5277944","14.145446","14.171433"
"10319","282177","ITAC","MAUS","103.01923","9.172115","10.700768","1","0","1","0","105","12.4","10.9","C","1LPY","1.9227147","35.19237","1.8618345"
"10320","282238","BELM","MAUS","852.3582","69.99224","37.181194","0","0","1","0","1076","94.3","37.87","L","1YLJ","26.238","34.729218","1.85256"
"10321","282239","MAUS","COAR","236.76471","23.310589","14.2658825","1","1","0","0","237","22.4","10.05","C","1YLJ","0.099372864","-3.9063334","-29.552204"
"10322","282241","COAR","BELM","1157.102","70.29336","38.67143","1","1","1","1","1124","67","34.9","C","1YJC","-2.8607726","-4.6851635","-9.752488"
"10323","282372","MAUS","ITAC","103.29032","5.9573116","7.444945","1","1","1","1","104","5.9","6","C","6826","0.68707466","-0.96203685","-19.408405"
"10324","282374","PLOU","SING","212","17","23.6","1","1","1","1","212","17","23.6","C","6386","0","0","0"
"10325","282382","SUAP","FAZE","194.72223","17.168333","19.551668","0","1","0","0","97","14","14","C","17MJ","-50.185455","-18.454515","-28.394854"
"10326","282383","ITAC","MAUS","103.01923","9.172115","10.700768","1","0","0","0","97","6.5","13.5","C","17MJ","-5.842823","-29.133034","26.159168"
"10327","282388","SAOL","FAZE","282.1111","23.616667","25.356667","0","0","0","0","177","18.6","16.800001","C","25DB","-37.258762","-21.242058","-33.745228"
"10328","282390","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","600","73","74.3","C","25DB","82.19895","156.03502","159.78708"
"10329","282474","RNDE","VICO","95.181816","7.131818","8.246365","1","1","0","0","94","7.4","6.2","C","1HQM","-1.2416422","3.7603617","-24.815357"
"10330","282693","COAR","BELM","1157.102","70.29336","38.67143","1","1","1","1","1298","81.9","34.01","C","1YLJ","12.1768","16.511726","-12.053937"
"10331","282753","PALR","RNDE","156.90805","15.968277","7.6451726","1","1","1","1","144","15.48","7.12","L","1VZ2","-8.226508","-3.0577958","-6.86934"
"10332","282755","MAUS","COAR","235.31624","23.401955","14.880716","1","1","1","1","233","19.4","14.48","L","1YIH","-0.9843111","-17.100943","-2.6928604"
"10333","282813","SAOL","MAUS","830.75","69.49","52.6825","1","1","0","0","914","82.3","40.670002","L","1YIH","10.021067","18.43431","-22.801685"
"10334","282896","BELM","MAUS","852.3582","69.99224","37.181194","1","0","0","0","890","98.73","48.31","L","25R5","4.4161916","41.058495","29.931282"
"10335","282913","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","1","1","94","10.2","9.7","C","25DB","-8.754903","11.206627","-9.352308"
"10336","282914","MAUS","COAR","235.31624","23.401955","14.880716","1","1","0","0","231","23.38","10.9","L","25R5","-1.8342316","-0.09381771","-26.75084"
