"ID_ANALISE","ID_COND_ESPECIAL","ORIGEM_PORTO","DESTINO_PORTO","DISTANCIA_AREA_RESTRITA_HISTORICO","TEMPO_AREA_RESTRITA_HISTORICO","CONSUMO_AREA_RESTRITA_HISTORICO","VEREDITO_DISTANCIA","VEREDITO_DURACAO","VEREDITO_CONSUMO","VEREDITO_CONDICAO_ESPECIAL","DISTANCIA_AREA_RESTRITA","TEMPO_AREA_RESTRITA","CONSUMO_AREA_RESTRITA","CARGA_LASTRO","NAVIO","DISTANCIA_PORCENTAGEM","TEMPO_PORCENTAGEM","CONSUMO_PORCENTAGEM"
"9682","290704","RNDE","VICO","95.181816","7.131818","8.246365","1","1","1","1","94","6.7","8.700001","C","1HQM","-1.2416422","-6.0548124","5.501044"
"9683","290734","ITAC","SALV","819.7143","51.414284","58.225716","0","0","0","0","140","14","18","L","1BW2","-82.920876","-72.77022","-69.08582"
"9684","290739","COAR","BELM","1157.102","70.29336","38.67143","0","0","0","0","1314","81","49.97","C","1YIH","13.559556","15.231371","29.21685"
"9685","290774","BELM","MAUS","852.3582","69.99224","37.181194","1","1","1","1","885","69.7","35.74","L","1YJC","3.8295865","-0.4175365","-3.8761318"
"9686","290778","TAPE","SUAP","197","16.5","19.9","1","1","1","1","197","16.5","19.9","L","0322","0","0","0"
"9687","290781","PALR","RNDE","156.90805","15.968277","7.6451726","1","0","1","0","145","13.9","7.86","L","25R5","-7.5891914","-12.952412","2.8099775"
"9688","290794","MAUS","COAR","236.76471","23.310589","14.2658825","1","1","0","0","225","21","11.03","C","1YJC","-4.9689474","-9.912187","-22.682667"
"9689","290821","SING","SALV","212","16.3","20.355","1","0","1","0","228","18.6","20.5","L","22TQ","7.547164","14.110434","0.71235895"
"9690","290979","RIOJ","SUAP","214","19","25.5","0","0","0","0","537","40.5","41.6","C","0T2N","150.93457","113.15789","63.137245"
"9880","276821","MAUS","COAR","235.31624","23.401955","14.880716","1","0","1","0","233","19.9","13.56","L","1YIH","-0.9843111","-14.964372","-8.875352"
"9691","290994","COAR","BELM","1157.102","70.29336","38.67143","1","1","0","0","1142","74.22","28.21","C","28VV","-1.3051629","5.586076","-27.052094"
"9879","276820","BELM","MAUS","852.3582","69.99224","37.181194","1","1","0","0","925","71.6","44.49","L","1YIH","8.522451","2.2970557","19.657267"
"9881","276867","SING","SIKK","18","1.17","5","0","0","0","0","291","25.3","38.949997","L","22TQ","1516.6666","2062.393","678.99994"
"9882","276872","SEUS","NYOR","1","1","1","0","0","0","0","42","4.5","4.67","C","20MG","4100","350","367"
"9883","278795","BELM","MAUS","852.3582","69.99224","37.181194","1","1","0","0","917","71.1","46.109997","L","1YIH","7.5838804","1.5826821","24.014294"
"9884","278796","MAUS","COAR","235.31624","23.401955","14.880716","1","0","0","0","232","20","13.08","L","1YIH","-1.4092684","-14.537054","-12.1010065"
"9885","278801","MAUS","ITAC","103.29032","5.9573116","7.444945","1","0","0","0","105","5.2","4.6","C","25DB","1.655221","-12.712306","-38.21311"
"9886","278802","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","0","0","103","9","8.89","C","25DB","-0.018668175","-1.8765092","-16.921854"
"9887","278838","P-35","P-38","90","18.5","18","0","0","0","0","8","1","1","C","26OJ","-91.111115","-94.59459","-94.44444"
"9888","278885","XARE","MAUS","871.8611","86.91389","85.10917","1","1","0","0","881","90.58","141.75","C","0YF4","1.0482073","4.2181015","66.550804"
"9889","278905","RIOA","LBEA","1","1","1","0","0","0","0","320","28.3","74","C","1UA4","31900","2730","7300"
"9890","278909","COAR","BELM","1157.102","70.29336","38.67143","0","0","0","0","1297","82.5","32.53","C","1YLJ","12.090373","17.365288","-15.88105"
"9891","278913","MAUS","COAR","235.31624","23.401955","14.880716","1","1","0","0","230","21.75","11","L","20Y4","-2.259189","-7.059044","-26.078827"
"9892","278927","ITAC","MAUS","103.01923","9.172115","10.700768","1","1","1","1","109","9","9.7","C","1OA6","5.8054805","-1.8765092","-9.352308"
"9893","278958","PALR","RNDE","156.90805","15.968277","7.6451726","1","0","0","0","145","18.5","5","L","25R5","-7.5891914","15.854704","-34.59925"
"9894","278960","ITAC","SNOS","386","32","39.8","1","1","1","1","386","32","39.8","L","09XB","0","0","0"
"9895","278973","TDAI","FAZE","326","24","34.3","1","0","0","0","300","31.3","48","C","0W5S","-7.975459","30.416668","39.941692"
"9896","278980","FAZE","ITAC","329.31033","28.511724","28.600346","0","0","0","0","600","67.6","112.85","C","0W5S","82.19895","137.09546","294.57565"
"9897","278987","BADO","PALR","174","16.844194","8.7329035","0","0","0","0","126","15","9.72","C","1VZ2","-27.58621","-10.9485445","11.303186"
"9898","278990","MAUS","COAR","235.31624","23.401955","14.880716","1","0","0","0","223","21","11.8","L","1YJC","-5.2339077","-10.263908","-20.702744"
"9899","278992","BELM","MAUS","852.3582","69.99224","37.181194","1","1","1","1","884","76.3","40.2","L","1YJC","3.7122607","9.012091","8.119178"
"9900","279034","BELM","SAOL","84.92857","6.8732142","7.1921434","0","0","0","0","30","4.5","4.2","C","17HL","-64.6762","-34.528446","-41.602943"
"9901","279056","COAR","BELM","1157.102","70.29336","38.67143","1","1","1","1","1153","65.9","40.63","C","1YIH","-0.35451055","-6.2500296","5.0646544"
